twitter_user,followers
AlbuquerqueDavy,121118
anderson_sandes,17825
MauricioCostaRS,118454
danigkarina,8898
alesilva_38,123988
KassyDillon,153828
CNoronha,7435
silviogrimaldo,51423
DHumanosBrasil,150294
Celio_FJ,819
Oliver_talk,30770
ludmilagrilo,116643
DigitalGovBr,104951
jeffs_araujo35,21408
BoletimCoppolla,323612
Elvisfpereira,13701
RaquelStasiaki,143452
ppinvestimentos,23955
cpacbrasil,32480
agenciabrasil,156886
FabioClickTime,26486
Ju_monarquista,13805
DNIToficial,118929
fabiowoficial,75506
saritacoelho,21420
professorigor22,7167
iaragb,53488
tvbrasilgov,288753
Alanghani,50878
DefesaGovBr,594834
Minas_Energia,114435
secomvc,181740
MariaMagan1,4064
weirtrenty,6318
gen_heleno,1072027
CarlaValente_38,55290
TonyStarkMeta,30929
CarlosNadalim,66347
MEC_Comunicacao,471845
Daniel_L_Lopez,131935
mdagovbr,87952
mmeioambiente,223697
MinCidadania,175924
embrapa,47334
mdregional_br,71907
portosdobrasil,31666
Mapa_Brasil,62769
AngelBR_PRF38PF,45302
AlexAleluia,28454
MTurismo,573882
agoranoticiasbr,33363
aviacaodobrasil,46365
SGPresidencia,30282
aassibarreto,14421
ArthurWeint,545201
taoquei1,325552
reportersalles,162045
JornalDaCidadeO,154378
Lets_Dex,107724
MariaMariah38,55895
JulyB_Lucille,36702
MInfraestrutura,244749
profpaulamarisa,254948
capitaoderrite,123091
rogeriosmarinho,100392
SorayaThronicke,144765
tercalivretv,34982
RevistaTerca,395819
realroyce,160200
AbrahamWeint,946000
FFrancischini_,96709
filipebarrost,374020
OsmarTerra,315566
jorgeofco,140664
LiloVLOG,149797
zeferinomma,8744
Os3Podreres,2224
Sophyevas,1373
fogosdofimdeano,15615
guguliberato,168430
millafreguglia,7446
junior_cigano,1317806
filippeirrazbal,13020
MariaVenturin10,596
_brasileirinhos,63897
albuquerque_af,84553
oceguinho,149138
BrazilFight,161943
Reginal68172650,17612
danielPMERJ,97700
Dom__Andolini,26772
carlosjordy,368710
CarolDeToni,376364
PatriaAmada_Br,22826
mctic,109989
Astro_Pontes,451942
casacivilbr,149748
JusticaGovBR,717203
MinEconomia,661137
VicenteSantini,14391
leandrolyrarj,26250
brunobiancoleal,53198
opropriolavo,461198
Fernuf91,52237
Miltonneves,2110495
BrasilEmProg,5497
TerezaCrisMS,442782
planalto,1114269
IDF,1195760
CmdoCML,59179
WRosarioCGU,26862
DamaresAlves,1145036
gualtersalles,7754
CarlaZambelli38,1035571
SEJAmaisesperto,447
rsallesmma,440132
PriscilaBCosta_,17583
GiseleDaminell2,42387
tarcisiogdf,660921
radardamidia,113642
OlavoOpressor,440752
ricardovelez,189465
censuradobem,1776
ernestofaraujo,721217
RdosAnjosMMA,196323
foIha_sp,223288
republica_ctba,196400
GuilhermeSchelb,14377
ladyfontenelle,303302
Williamtjcombr,1494
hoGABRlELinHeLL,18647
Bolsonaro1712,6070
fabifbbr,126245
depheliolopes,287274
Ro_Moller,120876
rodcostamusic,11128
Sra_azeevedo,4815
woman_rightBR,3333
andrefernm,158073
TVTromba,714
peterjordan100,239200
DrDireita,4638
gibrasilll,13450
OrgulhoDestro,472
LuisCaval1,8845
CanalHipocritas,158931
KarenCarollo,16606
Gen_Ex_Freitas,155986
CrisMenshova,60916
CristhPeterson,1735
GeneralGirao,141141
MajorVitorHugo,223172
mariana_godoy,461937
Rumbo_Libertad,88274
Negao20857451,91
forcolen,30241
lpbragancabr,547363
editorialmbc,22515
sikerajr,510181
YouTubeBrasil,477456
marciohaack,1132
bernardopkuster,392525
PATRlOTAS,221043
videosdedireita,8363
JoseMedeirosMT,116010
pauloccostabh,601
voto_BR,9729
rolexsocialista,1406
espcomunidade,290
obernardesjr,8925
CatioroReflexiv,106568
Jorgebertuzzi,4661
_mayralves,8415
gaviaox108,21627
AdNDS197,132
rbolsonaro38,26391
OpinaDireitas,2831
rogeriobuters1,6578
educardinal,21362
ReginadoPrates,9286
AiltonBenedito,213030
direitaminas,32809
filgmartin,334502
ClaudiaBorin,7315
WinstonLing,81703
Real_TMavPlus,68780
sociaIismo,19746
blogteleguiado,12136
isaacxbode,94
PrisonPlanet,1179027
patriotopressor,307
emb_resistencia,23971
BorrachinhaMMA,66353
lleonarelias3,358
omachoalpha,57554
pauloeneas,45033
Clauwild1,138866
MarchaHist,16262
FoiceDeSp,1267
jaojao1212,903
desmanipuladora,5304
mcbretas,433150
flaviogordon,107718
J0A0Designer,211
PolitzOficial,140156
FLOTUS,14847358
glaiconego,1417
junior34123,2888
chrisalvarenga,225
esquivafalcao,36889
RBandeirantes,249764
henriolliveira,79414
ptnuncamais,17838
geraldomiotto,189717
coroneltelhada,17818
BrunoGarschagen,132489
lnarloch,70079
augustosnunes,948556
camaradeputados,949651
Gen_VillasBoas,782532
fab_oficial,550179
marmilbr,540793
exercitooficial,1080486
DiarioPE,1078545
GDireita,6451
JorgeLuizFernan,298
rosedbarros,136759
leandroruschel,411656
albaexpider,123849
VistaContra,10824
_felipemelo_,1895212
risos,5891
RenovaMidia,327777
ojardimdoc,21342
TupiniquimS,5204
ericofilipe,518
darrentill2,232896
joaofafneri,533
fernandatanaka_,30237
euandret,938
SPD_33,38210
criticanac,103634
Porpetonehumor,231273
BordinVania,11087
josiasteofilo,74720
brasilparalelo,45573
Inimigo_Capital,5852
RFelicioOficial,39634
gcasagrande83,1653
conservadoresb_,2724
correio,774464
DireitaRio2017,888
ReacaGarota,945
ORetrogrado,3980
byweiri,442
garotaddireita,309
FotosDeFatos,262659
paraprognostico,1451
gabisnalda,215
ferpnn,185
MagnoMalta,862797
BelliSincero,2213
Mr_Couto,8400
direitagoiasofc,15079
duarteluiza_,10737
alexandregarcia,2763268
rodrigogurgel,59698
DudaNagle,383948
dricafassini,194
realDonaldTrump,85160831
carlinibh,59124
TonyEduardo38,3424
beserrote,8805
eitamandinha,13223
pauloap,81714
PERCIVALPUGGINA,29421
rudylanducci,83377
l1pinh0,1147
PanichiRaphael,54137
quebeleeeeza,232
AnaPaulaVolei,696325
AroldeOliveira,71752
Fernanda_CidL,44342
gabyscorpion,164
BolsomitoTV,240
sensoinc,198896
grahrobles,38
nessagagliardi,751
BolsonaroPeixe,5517
carlossampaio_,62713
AlonsoAllan,299
MarcosKleine,100981
milenereis,12174
JovemPanEntrete,1321917
cariocadelegado,1085476
Estadao,6870113
